"customer_id","r_score","f_score","m_score","total_ltv","segment"
16721,4,4,4,292.47,VIP
18191,4,4,4,207.80,VIP
13132,4,4,4,77.30,VIP
17263,4,4,4,63.44,VIP
14552,4,4,4,165.07,VIP
13512,4,4,4,251.21,VIP
17698,4,4,4,154.95,VIP
16006,4,4,4,101.40,VIP
15178,4,4,4,40.50,VIP
14536,4,4,4,171.80,VIP
15729,4,4,4,85.00,VIP
14476,4,4,4,215.70,VIP
18010,4,4,4,174.80,VIP
12821,4,4,4,92.72,VIP
16756,4,4,4,239.40,VIP
15083,4,4,4,88.20,VIP
13561,4,4,4,141.86,VIP
14353,4,4,4,90.60,VIP
13803,4,4,4,277.07,VIP
15668,4,4,4,76.32,VIP
13439,4,4,4,283.71,VIP
15528,4,4,4,229.33,VIP
13723,4,4,4,199.85,VIP
17775,4,4,4,56.40,VIP
18108,4,4,4,271.00,VIP
15552,4,4,4,90.12,VIP
18227,4,4,4,93.75,VIP
17174,4,4,4,59.90,VIP
17212,4,4,4,226.85,VIP
14957,4,4,4,58.49,VIP
13626,4,4,4,257.23,VIP
14340,4,4,4,134.70,VIP
13841,4,4,4,85.00,VIP
15691,4,4,4,136.80,VIP
16162,4,4,4,37.40,VIP
14199,4,4,4,185.40,VIP
13462,4,4,4,151.50,VIP
13781,4,4,4,127.84,VIP
14423,4,4,4,265.20,VIP
18185,4,4,4,304.25,VIP
13059,4,4,4,183.40,VIP
17956,4,4,4,12.75,VIP
16457,4,4,4,208.36,VIP
16990,4,4,4,179.00,VIP
17906,4,4,4,72.90,VIP
17578,4,4,4,143.46,VIP
18032,4,4,4,73.50,VIP
13863,4,4,4,305.78,VIP
13762,4,4,4,306.72,VIP
14964,4,4,4,206.21,VIP
14889,4,4,4,135.90,VIP
13712,4,4,4,228.84,VIP
14981,4,4,4,102.12,VIP
17394,4,4,4,203.87,VIP
15119,4,4,4,266.40,VIP
15775,4,4,4,104.90,VIP
16055,4,4,4,134.80,VIP
13187,4,4,4,236.02,VIP
13570,4,4,4,239.49,VIP
17752,4,4,4,80.64,VIP
13229,4,4,4,160.95,VIP
15143,4,4,4,259.45,VIP
14326,4,4,4,183.85,VIP
17574,4,4,4,185.65,VIP
17278,4,4,4,246.04,VIP
15212,4,4,4,101.80,VIP
18220,4,4,4,305.28,VIP
17972,4,4,4,136.04,VIP
13678,4,4,4,232.60,VIP
17187,4,4,4,203.95,VIP
16965,4,4,4,201.19,VIP
16097,4,4,4,185.05,VIP
17670,4,4,4,205.70,VIP
12573,4,4,4,160.54,VIP
17718,4,4,4,139.35,VIP
15135,4,4,4,139.05,VIP
13948,4,4,4,102.00,VIP
13482,4,4,4,184.64,VIP
12506,4,4,4,73.50,VIP
12622,4,4,4,180.10,VIP
16587,4,4,4,225.15,VIP
17548,4,4,4,103.30,VIP
15517,4,4,4,267.03,VIP
14148,4,4,4,157.20,VIP
17367,4,4,4,168.40,VIP
13302,4,4,4,63.75,VIP
13101,4,4,4,101.19,VIP
15717,4,4,4,150.30,VIP
13474,4,4,4,229.59,VIP
18213,4,4,4,232.48,VIP
17582,4,4,4,175.27,VIP
18009,4,4,4,257.34,VIP
16617,4,4,4,151.85,VIP
17303,4,4,4,250.04,VIP
17524,4,4,4,145.00,VIP
18004,4,4,4,169.47,VIP
16665,4,4,4,135.40,VIP
15823,4,4,4,15.00,VIP
14117,4,4,4,90.00,VIP
15454,4,4,4,179.10,VIP
15503,4,4,4,147.09,VIP
16282,4,4,4,168.30,VIP
17251,4,4,4,283.28,VIP
16565,4,4,4,173.70,VIP
15723,4,4,4,203.10,VIP
16727,4,4,4,272.82,VIP
14082,4,4,4,182.25,VIP
12977,4,4,4,39.24,VIP
14437,4,4,4,63.00,VIP
12797,4,4,4,254.03,VIP
15945,4,4,4,181.00,VIP
17456,4,4,4,249.86,VIP
14355,4,4,4,174.40,VIP
16829,4,4,4,197.22,VIP
16338,4,4,4,214.80,VIP
17978,4,4,4,300.92,VIP
16679,4,4,4,129.75,VIP
14821,4,4,4,48.80,VIP
18269,4,4,4,168.60,VIP
12441,4,4,4,173.55,VIP
15347,4,4,4,201.60,VIP
18203,4,4,4,160.42,VIP
17464,4,4,4,289.96,VIP
16893,4,4,4,145.93,VIP
15562,4,4,4,134.55,VIP
15180,4,4,4,87.50,VIP
18119,4,4,4,181.12,VIP
13786,4,4,4,230.40,VIP
16125,4,4,4,289.35,VIP
15899,4,4,4,56.25,VIP
17860,4,4,4,252.80,VIP
18113,4,4,4,76.32,VIP
13065,4,4,4,205.86,VIP
16344,4,4,4,101.10,VIP
15007,4,4,4,156.91,VIP
13967,4,4,4,80.70,VIP
12686,4,4,4,89.14,VIP
16926,4,4,4,230.25,VIP
14589,4,4,4,39.75,VIP
16752,4,4,4,207.50,VIP
13922,4,4,4,172.25,VIP
17855,4,4,4,208.97,VIP
13011,4,4,4,50.55,VIP
12855,4,4,4,38.10,VIP
16510,4,4,4,248.10,VIP
17939,4,4,4,99.14,VIP
17925,4,4,4,244.08,VIP
17899,4,4,4,155.80,VIP
16583,4,4,4,233.45,VIP
13304,4,4,4,300.42,VIP
17732,4,4,4,303.97,VIP
15460,4,4,4,216.76,VIP
15923,4,4,4,127.08,VIP
13745,4,4,4,300.04,VIP
17891,4,4,4,203.86,VIP
15578,4,4,4,127.10,VIP
14351,4,4,4,51.00,VIP
15346,4,4,4,252.42,VIP
17110,4,4,4,163.30,VIP
17968,4,4,4,277.35,VIP
12736,4,4,4,234.00,VIP
16351,4,4,4,153.90,VIP
18193,4,4,4,243.76,VIP
14185,4,4,4,197.65,VIP
12548,4,4,4,95.20,VIP
16315,4,4,4,226.37,VIP
15510,4,4,4,250.00,VIP
14795,4,4,4,131.45,VIP
15447,4,4,4,155.17,VIP
13284,4,4,4,201.19,VIP
12672,4,4,4,225.90,VIP
18212,4,4,4,248.42,VIP
14238,4,4,4,146.85,VIP
15316,4,4,4,165.00,VIP
16287,4,4,4,142.50,VIP
13859,4,4,4,201.16,VIP
13898,4,4,4,155.93,VIP
17643,4,4,4,101.55,VIP
14090,4,4,4,76.32,VIP
12665,4,4,4,63.00,VIP
17709,4,4,4,137.45,VIP
13008,4,4,4,229.47,VIP
12402,4,4,4,225.60,VIP
12738,4,4,4,155.35,VIP
15262,4,4,4,178.95,VIP
15174,4,4,4,135.75,VIP
16387,4,4,4,94.36,VIP
13937,4,4,4,158.85,VIP
17094,4,4,4,302.00,VIP
14068,4,4,4,265.85,VIP
17714,4,4,4,153.00,VIP
15167,4,4,4,163.00,VIP
13551,4,4,4,91.80,VIP
14368,4,4,4,155.00,VIP
15820,4,4,4,206.98,VIP
15052,4,4,4,215.78,VIP
14782,4,4,4,200.10,VIP
18011,4,4,4,102.79,VIP
15041,4,4,4,180.35,VIP
15279,4,4,4,290.51,VIP
13703,4,4,4,99.50,VIP
14248,4,4,4,302.58,VIP
16124,4,4,4,249.00,VIP
16114,4,4,4,135.75,VIP
17118,4,4,4,157.02,VIP
17877,4,4,4,237.61,VIP
12574,4,4,4,218.45,VIP
15412,4,4,4,190.53,VIP
13747,4,4,4,79.60,VIP
17960,4,4,4,73.78,VIP
16526,4,4,4,290.36,VIP
13600,4,4,4,219.52,VIP
16403,4,4,4,177.50,VIP
17619,4,4,4,218.52,VIP
15016,4,4,4,170.04,VIP
17879,4,4,4,178.52,VIP
13618,4,4,4,177.34,VIP
17356,4,4,4,178.22,VIP
14549,4,4,4,289.24,VIP
12837,4,4,4,134.10,VIP
13568,4,4,4,192.85,VIP
14237,4,4,4,161.00,VIP
15940,4,4,4,35.80,VIP
16050,4,4,4,137.90,VIP
15909,4,4,4,191.94,VIP
15226,4,4,4,154.41,VIP
16257,4,4,4,46.95,VIP
17984,4,4,4,152.68,VIP
13826,4,4,4,189.50,VIP
15219,4,4,4,305.75,VIP
17517,4,4,4,153.94,VIP
16461,4,4,4,151.42,VIP
17536,4,4,4,76.50,VIP
14438,4,4,4,131.90,VIP
14722,4,4,4,187.92,VIP
18165,4,4,4,302.46,VIP
13080,4,4,4,58.08,VIP
13584,4,4,4,142.40,VIP
12732,4,4,4,236.26,VIP
13809,4,4,4,155.05,VIP
17859,4,4,4,148.21,VIP
17881,4,4,4,133.35,VIP
15753,4,4,4,79.20,VIP
12401,4,4,4,84.30,VIP
13663,4,4,4,189.47,VIP
17843,4,4,4,205.48,VIP
18281,4,4,4,80.82,VIP
14576,4,4,4,35.40,VIP
16581,4,4,4,105.84,VIP
12561,4,4,4,238.85,VIP
16425,4,4,4,302.70,VIP
17234,4,4,4,149.89,VIP
15256,4,4,4,98.45,VIP
12791,4,4,4,192.60,VIP
13686,4,4,4,72.00,VIP
17908,4,4,4,243.28,VIP
16113,4,4,4,161.38,VIP
16738,4,4,4,3.75,VIP
15607,4,4,4,104.76,VIP
14241,4,4,4,213.70,VIP
14760,4,4,4,89.20,VIP
15609,4,4,4,298.48,VIP
14386,4,4,4,142.40,VIP
15670,4,4,4,173.05,VIP
16148,4,4,4,76.32,VIP
18138,4,4,4,152.65,VIP
14371,4,4,4,100.50,VIP
18072,4,4,4,247.44,VIP
17987,4,4,4,198.57,VIP
14375,4,4,4,257.68,VIP
17343,4,4,4,193.64,VIP
14542,4,4,4,103.25,VIP
13033,4,4,4,190.55,VIP
16349,4,4,4,53.50,VIP
18114,4,4,4,220.10,VIP
17124,4,4,4,298.89,VIP
15397,4,4,4,94.00,VIP
17171,4,4,4,224.91,VIP
18068,4,4,4,101.70,VIP
16611,4,4,4,129.49,VIP
17128,4,4,4,157.09,VIP
12565,4,4,4,145.92,VIP
15543,4,4,4,127.86,VIP
13751,4,4,4,296.25,VIP
12361,4,4,4,189.90,VIP
13682,4,4,4,59.50,VIP
13973,4,4,4,264.70,VIP
13684,4,4,4,67.23,VIP
16598,4,4,4,145.05,VIP
14046,4,4,4,154.99,VIP
17165,4,4,4,158.68,VIP
12509,4,4,4,176.50,VIP
16078,4,4,4,79.20,VIP
15709,4,4,4,133.25,VIP
17962,4,4,4,102.83,VIP
16117,4,4,4,232.21,VIP
15319,4,4,4,204.50,VIP
15733,4,4,4,162.30,VIP
16659,4,4,4,39.12,VIP
17923,4,4,4,207.50,VIP
17531,4,4,4,296.70,VIP
12551,4,4,4,168.00,VIP
12817,4,4,4,166.04,VIP
15087,4,4,4,306.94,VIP
17789,4,4,4,225.90,VIP
16424,4,4,4,133.56,VIP
13800,4,4,3,558.32,VIP
14497,4,4,3,475.37,VIP
15109,4,4,3,484.95,VIP
17046,4,4,3,642.02,VIP
13338,4,4,3,487.02,VIP
15507,4,4,3,492.36,VIP
14348,4,4,3,409.57,VIP
12426,4,4,3,582.73,VIP
13270,4,4,3,590.00,VIP
12988,4,4,3,535.32,VIP
13044,4,4,3,560.47,VIP
15415,4,4,3,572.81,VIP
12833,4,4,3,417.38,VIP
15795,4,4,3,610.01,VIP
15825,4,4,3,532.94,VIP
12707,4,4,3,603.42,VIP
15303,4,4,3,574.02,VIP
12580,4,4,3,415.70,VIP
15448,4,4,3,494.64,VIP
15389,4,4,3,500.00,VIP
16718,4,4,3,623.75,VIP
16586,4,4,3,463.95,VIP
16275,4,4,3,559.87,VIP
13874,4,4,3,540.45,VIP
17140,4,4,3,465.32,VIP
12725,4,4,3,427.80,VIP
17499,4,4,3,622.88,VIP
16135,4,4,3,517.55,VIP
12945,4,4,3,462.95,VIP
12802,4,4,3,427.58,VIP
16072,4,4,3,584.32,VIP
15585,4,4,3,455.30,VIP
18176,4,4,3,476.35,VIP
13243,4,4,3,600.07,VIP
12922,4,4,3,405.38,VIP
18074,4,4,3,489.60,VIP
16643,4,4,3,487.51,VIP
17291,4,4,3,550.80,VIP
17443,4,4,3,534.24,VIP
15655,4,4,3,560.67,VIP
13357,4,4,3,609.95,VIP
12809,4,4,3,489.31,VIP
12447,4,4,3,476.49,VIP
14149,4,4,3,446.62,VIP
14022,4,4,3,440.00,VIP
17525,4,4,3,422.70,VIP
14288,4,4,3,426.60,VIP
14270,4,4,3,492.65,VIP
12521,4,4,3,599.68,VIP
15891,4,4,3,524.52,VIP
14489,4,4,3,463.38,VIP
16142,4,4,3,535.34,VIP
14603,4,4,3,660.00,VIP
14036,4,4,3,626.65,VIP
14048,4,4,3,409.93,VIP
16834,4,4,3,413.46,VIP
12564,4,4,3,456.90,VIP
18106,4,4,3,430.70,VIP
15147,4,4,3,623.50,VIP
13385,4,4,3,534.57,VIP
17142,4,4,3,579.00,VIP
13166,4,4,3,417.20,VIP
16763,4,4,3,611.85,VIP
12355,4,4,3,459.40,VIP
12866,4,4,3,559.12,VIP
14873,4,4,3,519.68,VIP
12639,4,4,3,486.10,VIP
13485,4,4,3,454.24,VIP
18233,4,4,3,440.00,VIP
14400,4,4,3,574.70,VIP
16529,4,4,3,455.25,VIP
16614,4,4,3,506.19,VIP
15165,4,4,3,487.75,VIP
14431,4,4,3,470.36,VIP
15802,4,4,3,451.42,VIP
18159,4,4,3,530.15,VIP
15225,4,4,3,409.40,VIP
13043,4,4,3,516.42,VIP
16084,4,4,3,436.18,VIP
16812,4,4,3,479.35,VIP
16947,4,4,3,406.48,VIP
15361,4,4,3,418.92,VIP
14000,4,4,3,635.66,VIP
16022,4,4,3,628.28,VIP
17701,4,4,3,417.95,VIP
14130,4,4,3,483.86,VIP
13615,4,4,3,417.69,VIP
17880,4,4,3,458.92,VIP
15222,4,4,3,585.00,VIP
16116,4,4,3,612.78,VIP
16319,4,4,3,404.40,VIP
13358,4,4,3,439.03,VIP
13398,4,4,3,457.34,VIP
15442,4,4,3,594.00,VIP
17970,4,4,3,582.59,VIP
12591,4,4,3,452.85,VIP
16795,4,4,3,414.88,VIP
16216,4,4,2,914.93,VIP
13583,4,4,2,781.03,VIP
12976,4,4,2,738.60,VIP
13753,4,4,2,741.26,VIP
12818,4,4,2,1542.08,VIP
16054,4,4,2,783.90,VIP
16276,4,4,2,810.60,VIP
17829,4,4,2,889.24,VIP
13893,4,4,2,821.10,VIP
12770,4,4,2,1351.45,VIP
15832,4,4,2,836.79,VIP
13341,4,4,2,775.85,VIP
13328,4,4,2,1308.48,VIP
16494,4,4,2,826.53,VIP
13339,4,4,2,860.12,VIP
15076,4,4,2,880.85,VIP
16222,4,4,2,846.72,VIP
16377,4,4,2,676.20,VIP
13572,4,4,2,1384.25,VIP
13501,4,4,2,1340.32,VIP
13370,4,4,2,754.87,VIP
14222,4,4,2,683.17,VIP
16256,4,4,2,752.43,VIP
16152,4,4,1,1829.04,VIP
16754,4,4,1,2002.40,VIP
12346,4,4,1,77183.60,VIP
14439,4,4,1,2661.24,VIP
12764,4,4,1,1693.88,VIP
14935,4,4,1,1784.71,VIP
17597,4,4,1,2044.37,VIP
12405,4,4,1,1710.39,VIP
13135,4,4,1,3096.00,VIP
12501,4,4,1,2169.39,VIP
14459,4,4,1,1837.92,VIP
17708,4,3,4,267.08,VIP
12651,4,3,4,114.00,VIP
16048,4,3,4,256.44,VIP
15350,4,3,4,115.65,VIP
17691,4,3,4,290.40,VIP
12829,4,3,4,293.00,VIP
15266,4,3,4,119.30,VIP
14413,4,3,4,122.70,VIP
13807,4,3,4,112.60,VIP
16658,4,3,4,123.24,VIP
14813,4,3,4,155.43,VIP
17967,4,3,4,123.07,VIP
15070,4,3,4,106.20,VIP
12734,4,3,4,110.40,VIP
13144,4,3,4,110.95,VIP
15395,4,3,4,107.45,VIP
15422,4,3,4,97.70,VIP
13002,4,3,4,120.95,VIP
16757,4,3,4,106.83,VIP
13161,4,3,4,112.75,VIP
12929,4,3,4,117.85,VIP
14457,4,3,4,113.64,VIP
13581,4,3,4,118.00,VIP
12956,4,3,4,108.07,VIP
15843,4,3,4,118.95,VIP
17334,4,3,4,307.02,VIP
16405,4,3,4,167.25,VIP
13672,4,3,4,186.39,VIP
16897,4,3,4,289.78,VIP
16073,4,3,4,122.40,VIP
16765,4,3,4,34.00,VIP
16913,4,3,4,113.44,VIP
17117,4,3,4,116.20,VIP
16339,4,3,4,109.95,VIP
16792,4,3,4,110.38,VIP
14570,4,3,4,218.06,VIP
17654,4,3,4,117.55,VIP
15869,4,3,4,149.64,VIP
17639,4,3,4,108.50,VIP
14165,4,3,4,122.54,VIP
13133,4,3,4,109.80,VIP
17194,4,3,4,262.62,VIP
13226,4,3,4,108.21,VIP
15049,4,3,4,121.17,VIP
14155,4,3,4,118.75,VIP
16402,4,3,4,299.60,VIP
15445,4,3,4,113.50,VIP
16427,4,3,4,241.06,VIP
14632,4,3,4,114.56,VIP
17102,4,3,4,25.50,VIP
14890,4,3,4,125.65,VIP
15894,4,3,4,263.55,VIP
15917,4,3,4,123.10,VIP
13718,4,3,4,306.55,VIP
13508,4,3,4,110.97,VIP
18129,4,3,4,112.55,VIP
16697,4,3,4,112.75,VIP
17746,4,3,4,110.25,VIP
15139,4,3,4,178.96,VIP
17601,4,3,4,116.01,VIP
13120,4,3,4,30.60,VIP
16217,4,3,4,304.25,VIP
17217,4,3,4,113.50,VIP
14242,4,3,4,280.55,VIP
17946,4,3,4,149.58,VIP
17893,4,3,4,112.25,VIP
14271,4,3,4,112.32,VIP
17991,4,3,4,93.35,VIP
16634,4,3,4,217.90,VIP
17501,4,3,4,288.60,VIP
14697,4,3,4,188.61,VIP
13711,4,3,4,252.06,VIP
18120,4,3,4,111.15,VIP
14699,4,3,4,109.13,VIP
15732,4,3,4,294.12,VIP
17889,4,3,4,203.87,VIP
13837,4,3,4,271.24,VIP
14689,4,3,4,112.80,VIP
12897,4,3,4,216.50,VIP
18048,4,3,4,172.29,VIP
15724,4,3,4,218.25,VIP
13479,4,3,4,300.95,VIP
13223,4,3,4,163.20,VIP
14985,4,3,4,296.75,VIP
12547,4,3,4,207.80,VIP
15897,4,3,4,222.05,VIP
18190,4,3,4,284.46,VIP
17900,4,3,4,112.20,VIP
14453,4,3,4,119.93,VIP
14682,4,3,4,52.00,VIP
16963,4,3,4,110.55,VIP
16883,4,3,4,276.73,VIP
14512,4,3,4,275.28,VIP
15852,4,3,4,160.71,VIP
16849,4,3,4,124.57,VIP
17026,4,3,4,154.83,VIP
17707,4,3,4,152.40,VIP
14501,4,3,4,251.21,VIP
17349,4,3,4,110.75,VIP
15912,4,3,4,264.62,VIP
17446,4,3,4,120.90,VIP
14037,4,3,4,147.20,VIP
14162,4,3,4,289.36,VIP
15280,4,3,4,113.12,VIP
16247,4,3,4,114.56,VIP
14656,4,3,4,291.05,VIP
16647,4,3,4,214.06,VIP
17969,4,3,4,228.20,VIP
17408,4,3,4,32.65,VIP
15537,4,3,4,110.92,VIP
16498,4,3,4,100.97,VIP
17781,4,3,4,188.02,VIP
12450,4,3,4,197.88,VIP
18013,4,3,4,187.29,VIP
15512,4,3,4,121.00,VIP
14104,4,3,4,216.21,VIP
13754,4,3,4,282.60,VIP
13420,4,3,4,159.85,VIP
14924,4,3,3,310.05,VIP
14220,4,3,3,632.40,VIP
17374,4,3,3,495.77,VIP
16109,4,3,3,611.88,VIP
12386,4,3,3,401.90,VIP
17492,4,3,3,374.57,VIP
16105,4,3,3,336.96,VIP
14747,4,3,3,328.20,VIP
14886,4,3,3,364.80,VIP
17438,4,3,3,388.45,VIP
14479,4,3,3,316.25,VIP
18078,4,3,3,336.13,VIP
13060,4,3,3,307.53,VIP
15424,4,3,3,383.34,VIP
17604,4,3,3,309.36,VIP
13642,4,3,3,354.80,VIP
15092,4,3,3,457.81,VIP
13368,4,3,3,623.40,VIP
12888,4,3,3,354.12,VIP
13649,4,3,3,346.60,VIP
12792,4,3,3,400.54,VIP
13675,4,3,3,486.82,VIP
15433,4,3,3,533.30,VIP
15063,4,3,3,370.80,VIP
13990,4,3,3,311.30,VIP
18071,4,3,3,453.00,VIP
15381,4,3,3,596.85,VIP
13452,4,3,3,590.00,VIP
14548,4,3,3,652.80,VIP
13052,4,3,3,348.15,VIP
18218,4,3,3,662.08,VIP
16063,4,3,3,335.32,VIP
14988,4,3,3,334.54,VIP
16769,4,3,3,380.39,VIP
18121,4,3,3,673.10,VIP
17486,4,3,3,396.87,VIP
14870,4,3,3,327.25,VIP
13239,4,3,3,329.56,VIP
16250,4,3,3,389.44,VIP
14888,4,3,3,369.20,VIP
17507,4,3,3,605.58,VIP
14320,4,3,3,477.79,VIP
13976,4,3,3,357.98,VIP
13531,4,3,3,483.80,VIP
12690,4,3,3,389.01,VIP
14620,4,3,3,412.78,VIP
12489,4,3,3,334.93,VIP
16096,4,3,3,320.62,VIP
13887,4,3,3,349.55,VIP
14633,4,3,3,344.90,VIP
15648,4,3,3,657.35,VIP
14896,4,3,3,468.77,VIP
15695,4,3,3,409.98,VIP
15224,4,3,3,322.08,VIP
13216,4,3,3,333.74,VIP
15047,4,3,3,343.62,VIP
17715,4,3,3,326.40,VIP
17866,4,3,3,329.65,VIP
13737,4,3,3,339.60,VIP
15789,4,3,3,351.30,VIP
14114,4,3,3,386.53,VIP
15314,4,3,3,327.97,VIP
16625,4,3,3,333.08,VIP
15308,4,3,3,310.47,VIP
16450,4,3,3,311.92,VIP
17138,4,3,3,380.50,VIP
12915,4,3,3,363.65,VIP
13493,4,3,3,618.63,VIP
16838,4,3,3,588.85,VIP
16917,4,3,3,391.52,VIP
15944,4,3,3,325.10,VIP
14012,4,3,3,328.80,VIP
17259,4,3,3,603.37,VIP
12614,4,3,3,315.60,VIP
14670,4,3,3,411.53,VIP
17508,4,3,3,387.31,VIP
16810,4,3,3,309.54,VIP
12790,4,3,3,324.92,VIP
15402,4,3,3,626.77,VIP
16159,4,3,3,348.20,VIP
14377,4,3,3,617.05,VIP
13062,4,3,3,346.98,VIP
15918,4,3,3,334.23,VIP
15204,4,3,3,316.58,VIP
14729,4,3,3,313.49,VIP
12834,4,3,3,312.38,VIP
12873,4,3,3,374.00,VIP
13885,4,3,3,506.80,VIP
13497,4,3,3,348.05,VIP
16967,4,3,3,319.02,VIP
16230,4,3,3,542.03,VIP
15257,4,3,3,317.15,VIP
15405,4,3,3,349.10,VIP
14847,4,3,3,309.40,VIP
14891,4,3,3,554.38,VIP
13345,4,3,3,389.50,VIP
18056,4,3,3,363.65,VIP
15386,4,3,3,394.14,VIP
17948,4,3,3,358.56,VIP
13395,4,3,3,307.72,VIP
12365,4,3,3,641.38,VIP
12852,4,3,3,311.55,VIP
13932,4,3,3,307.40,VIP
17854,4,3,3,311.26,VIP
14622,4,3,3,320.58,VIP
16509,4,3,3,363.70,VIP
13466,4,3,3,307.90,VIP
15236,4,3,3,321.05,VIP
14142,4,3,3,311.81,VIP
13706,4,3,3,330.79,VIP
17358,4,3,3,365.85,VIP
13936,4,3,3,376.58,VIP
15970,4,3,3,314.10,VIP
14600,4,3,3,393.33,VIP
17795,4,3,3,350.39,VIP
17392,4,3,3,457.91,VIP
15090,4,3,3,381.32,VIP
17226,4,3,3,393.49,VIP
13343,4,3,3,353.43,VIP
16274,4,3,3,357.95,VIP
16030,4,3,3,331.24,VIP
12559,4,3,3,561.71,VIP
16739,4,3,3,323.00,VIP
18250,4,3,3,349.27,VIP
17223,4,3,3,426.79,VIP
14491,4,3,3,340.93,VIP
13005,4,3,3,513.70,VIP
12350,4,3,3,334.40,VIP
16805,4,3,3,460.59,VIP
14850,4,3,3,325.75,VIP
17976,4,3,3,353.19,VIP
16484,4,3,3,404.30,VIP
13494,4,3,3,316.26,VIP
14496,4,3,3,538.81,VIP
15921,4,3,3,336.03,VIP
12373,4,3,3,364.60,VIP
16781,4,3,3,311.25,VIP
17239,4,3,3,382.50,VIP
18095,4,3,3,580.05,VIP
17431,4,3,3,403.30,VIP
13506,4,3,3,458.52,VIP
15661,4,3,3,309.80,VIP
13821,4,3,3,385.64,VIP
14998,4,3,3,429.87,VIP
15213,4,3,3,328.35,VIP
17890,4,3,3,602.09,VIP
15384,4,3,3,642.41,VIP
17630,4,3,3,503.60,VIP
13300,4,3,3,371.89,VIP
15130,4,3,3,330.11,VIP
17862,4,3,3,330.90,VIP
12872,4,3,3,599.97,VIP
15258,4,3,3,623.16,VIP
12493,4,3,3,433.74,VIP
13453,4,3,3,356.98,VIP
17569,4,3,3,344.14,VIP
15976,4,3,3,430.94,VIP
16545,4,3,3,339.30,VIP
14481,4,3,3,636.51,VIP
13656,4,3,3,379.65,VIP
15326,4,3,3,311.71,VIP
14327,4,3,3,311.65,VIP
17391,4,3,3,508.80,VIP
16850,4,3,3,332.41,VIP
17123,4,3,3,345.30,VIP
14338,4,3,3,588.22,VIP
15713,4,3,3,356.70,VIP
13108,4,3,3,350.06,VIP
15363,4,3,3,326.00,VIP
12793,4,3,3,545.48,VIP
15880,4,3,3,343.28,VIP
17105,4,3,3,665.78,VIP
13833,4,3,3,384.80,VIP
15349,4,3,3,473.81,VIP
16858,4,3,3,375.69,VIP
13085,4,3,3,416.08,VIP
15973,4,3,3,307.82,VIP
15221,4,3,3,403.25,VIP
14932,4,3,3,363.53,VIP
13369,4,3,3,308.28,VIP
14905,4,3,3,616.15,VIP
14645,4,3,3,597.09,VIP
